"","NEPA_DOC_NBR","numact","H","projarea","footprint","E"
"4211","52832",9,1.96466744358323,9197112.31067617,1030430.26454986,0.122528278556067
"4212","52833",5,1.17522328927367,3985280.11660779,2569481.98264798,0.0773268951368717
"4213","52842",6,1.53268126547031,2948402.10449298,1011395.89247833,0.102886791025232
"4214","52843",8,1.92828507971355,5214984.94509471,1260984.16711852,0.124670540516788
"4215","52844",29,2.81529298298306,72885733.8013295,10878018.185545,0.155503216978351
"4216","52849",11,2.08773138965466,314545261.484913,38940974.2212509,0.106698520823919
"4217","52853",8,1.82005392566641,10758664.8634859,1931449.0106822,0.112409917128515
"4218","52868",5,1.45003420792786,9304185.04075312,2662214.64151989,0.0903674734918433
"4219","52869",3,1.09861228866811,3673604.69296945,1224523.311208,0.0726754817921437
"4220","52870",11,2.20012609446948,42766893.724729,3659896.54277361,0.125211523536823
"4221","52871",4,1.33462363931121,654044.560114429,129571.975353282,0.0996662340316054
"4222","52877",6,1.62070257904139,12541175.9732044,5308314.96746256,0.0991587271455712
"4223","52887",4,1.38629436111989,249498.034241059,62374.5085602647,0.111553178239877
"4224","52894",12,2.33500136841627,64522905.033609,11776999.583617,0.129848317223688
"4225","52897",8,1.834572785214,16576526.3006988,2356789.71581113,0.110360212151368
"4226","52899",13,2.46670100932801,399795829.181041,29410514.0206058,0.124540197640315
"4227","52900",3,0.0709386178774067,37445098.4074747,34754139.2285299,0.00406795768536205
"4228","52910",8,2.00187491922401,20008971.5505148,4100422.38730315,0.119076354811264
"4229","52918",6,1.72665611138778,1844201.48260876,844203.331731847,0.119677650100199
"4230","52924",1,0,2047164.32759591,1918280.68951886,0
"4231","52933",13,2.07936946848831,49358437.6785104,11776748.3217992,0.117381549949055
"4232","52934",4,1.38629436111989,29556434.5260219,7370471.79084082,0.0805900191687626
"4233","52942",10,1.83166206599375,14421814.7432227,4157924.29230343,0.111115870286203
"4234","52951",39,2.82835341554721,222515712.882161,61732071.9061022,0.147152893920357
"4235","52956",2,0.632830433294537,19885042.9387392,7891569.72787964,0.0376561986742436
"4236","52963",12,2.3457561427864,45896938.6855873,5585181.19433295,0.132964983878879
"4237","52970",5,1.4109132144531,6935344.1140574,1742559.45666236,0.0895696143029449
"4238","52974",2,0.693103725118018,9994414.79850498,5043793.97817705,0.0430030795773962
"4239","52985",3,1.01140426470735,31009291.5952415,5168215.26587358,0.0586328197678256
"4240","53007",4,1.38629436111989,976954.266185063,244238.566546266,0.100512960345414
"4241","53009",6,1.79175946922805,1591051.28771554,265175.214619257,0.125474182153294
"4242","53011",4,1.34733125192764,6419942.76290168,2515306.28377926,0.0859545868521413
"4243","53012",1,0,265834.374130881,265834.374130881,0
"4244","53013",2,0.464589239504531,3771521.00385917,3771521.00385917,0.0306801544749943
"4245","53014",18,2.44023452003096,86940259.6210334,8431574.49983781,0.13348669794891
"4246","53017",2,0.693147180559945,12004.5033417795,6002.25167088973,0.0737937229951396
"4247","53027",2,0.326984040414765,23067.5903091994,20740.8291606628,0.0325480843124579
"4248","53032",38,3.0709758447662,163759013.859565,11184771.1256886,0.162366026734347
"4249","53037",19,1.22257756389232,32068776.5547309,12624056.8994448,0.0707371251733072
"4250","53044",1,0,6643874.74773057,6643874.74773057,0
"4251","53047",1,0,511386.903099269,511386.903099269,0
"4252","53048",14,2.38185123811546,98873276.7202465,6995088.41818059,0.129382693885833
"4253","53049",17,2.484074367059,61435774.3755832,4123892.46933024,0.138515848540197
"4254","53067",25,2.87180720260197,57700345.0860464,4774534.52072549,0.160698537671526
"4255","53068",7,1.83437197028162,2807860.00067649,280786.000067649,0.123543926777878
"4256","53089",7,1.94591014905531,121198.843518549,17314.1205026499,0.166243394000525
"4257","53093",4,1.26564557223077,15568068.674134,7926909.10286347,0.0764244922524283
"4258","53099",11,1.97662402536006,71509855.1200806,11778797.9659268,0.109294234333147
"4259","53101",1,0,280031.857108709,280031.857108709,0
"4260","53114",34,2.77204467721517,167392922.063495,16031288.2633074,0.146391317431358
"4261","53124",3,1.01523266763392,4417317.60732442,3817049.07077229,0.0663505523632954
"4262","53126",7,1.77522805066489,161871293.593345,64482935.8394796,0.0939159210730324
"4263","53128",15,2.39623952788191,50690930.5950405,12916375.081205,0.135065934226192
"4264","53135",7,0.839254359479616,42196033.8942022,9844473.3673624,0.0477994168340777
"4265","53148",11,0.673242455204621,84526435.0930865,75454694.3958257,0.0368847934856273
"4266","53150",8,1.95138800991444,17658587.6543955,4214247.10759097,0.116942485754874
"4267","53153",1,0,20116.9562079017,20116.9562079017,0
"4268","53159",10,1.68745015530015,16667761.430334,10083533.8322002,0.101476425444489
"4269","53173",1,0,74354.0343386595,74354.0343386595,0
"4270","53175",1,0,2618150.68220694,2618150.68220694,0
"4271","53176",5,1.60504556952955,12351282.6823612,2583188.00387085,0.0982925460040017
"4272","53180",28,2.78234036042893,30852377.0518564,2905245.0132674,0.161344438031318
"4273","53183",5,1.56552340510941,12405853.4386335,2008230.92811774,0.0958463434917525
"4274","53185",2,0.356073241345542,22233118.1189031,22233118.1189031,0.0210481333837821
"4275","53191",5,1.23115153611205,599388.453200436,114846.977284577,0.0925422821758567
"4276","5321",7,1.88968263526938,6814207.99310976,1918572.79942373,0.120097885864731
"4277","53229",21,2.62972562083809,3722154.91002491,501532.612410452,0.173810843699004
"4278","53230",16,2.65297877953942,3182095.70003385,217224.419433016,0.177183585161969
"4279","53233",13,2.41839331538799,9907709.32252756,1009701.27269539,0.15012848583462
"4280","53238",7,1.83430191987536,30792140.8083633,3079674.10810207,0.106380930378023
"4281","53248",2,0.693147180559945,4701196.45868834,2347422.96342415,0.0451169953937353
"4282","53252",1,0,82859.5085232687,82859.5085232687,0
"4283","53267",8,1.54903707655029,76659361.5885957,12811856.2756427,0.0853234436776845
"4284","53287",7,1.65798246832244,11602830.0199545,2123157.65476381,0.101924569474731
"4285","53288",2,0.693147180559945,76303.7302975897,38151.8651487948,0.0616543110586231
"4286","53294",2,0.693147180559945,2719623.59447695,1359811.79723848,0.0467836792219301
"4287","53299",1,0,4389701.23026691,2398049.8127534,0
"4288","53305",1,0,65305.7975196866,65305.7975196866,0
"4289","53306",4,1.27910140503809,8092153.52831539,3088786.12322587,0.0804142336911698
"4290","53307",1,0,9612326.4689491,9612326.4689491,0
